Code,ID
1,0
0,0
2,0
4,0
8,0
16,0
32,0
64,0
128,0
256,0
512,0
1024,0
2048,0
4096,0
6,7
15,7
14,7
5,7
13,7
3,7
11,7
7,7
23,7
39,7
71,7
135,7
263,7
519,7
1031,7
2055,7
4103,7
29,7
28,7
12,7
30,7
10,7
26,7
22,7
46,7
78,7
142,7
270,7
526,7
1038,7
2062,7
4110,7
57,7
56,7
58,7
24,7
60,7
20,7
52,7
44,7
92,7
156,7
284,7
540,7
1052,7
2076,7
4124,7
113,7
112,7
114,7
116,7
48,7
120,7
40,7
104,7
88,7
184,7
312,7
568,7
1080,7
2104,7
4152,7
225,7
224,7
226,7
228,7
232,7
96,7
240,7
80,7
208,7
176,7
368,7
624,7
1136,7
2160,7
4208,7
449,7
448,7
450,7
452,7
456,7
464,7
192,7
480,7
160,7
416,7
352,7
736,7
1248,7
2272,7
4320,7
897,7
896,7
898,7
900,7
904,7
912,7
928,7
384,7
960,7
320,7
832,7
704,7
1472,7
2496,7
4544,7
1793,7
1792,7
1794,7
1796,7
1800,7
1808,7
1824,7
1856,7
768,7
1920,7
640,7
1664,7
1408,7
2944,7
4992,7
3585,7
3584,7
3586,7
3588,7
3592,7
3600,7
3616,7
3648,7
3712,7
1536,7
3840,7
1280,7
3328,7
2816,7
5888,7
7169,7
7168,7
7170,7
7172,7
7176,7
7184,7
7200,7
7232,7
7296,7
7424,7
3072,7
7680,7
2560,7
6656,7
5632,7
6145,7
6144,7
6146,7
6148,7
6152,7
6160,7
6176,7
6208,7
6272,7
6400,7
5120,7
4099,7
4098,7
6147,7
4097,7
6149,7
4101,7
6153,7
4105,7
6161,7
4113,7
6177,7
4129,7
6209,7
4161,7
6273,7
4225,7
6401,7
4353,7
6657,7
4609,7
5121,7
2049,7
4107,7
4115,7
19,7
4131,7
35,7
4163,7
67,7
4227,7
131,7
4355,7
259,7
4611,7
515,7
5123,7
1027,7
2051,7
62,63
127,63
126,63
61,63
125,63
59,63
123,63
55,63
119,63
47,63
111,63
31,63
95,63
63,63
191,63
319,63
575,63
1087,63
2111,63
4159,63
253,63
252,63
124,63
254,63
122,63
250,63
118,63
246,63
110,63
238,63
94,63
222,63
190,63
382,63
638,63
1150,63
2174,63
4222,63
505,63
504,63
506,63
248,63
508,63
244,63
500,63
236,63
492,63
220,63
476,63
188,63
444,63
380,63
764,63
1276,63
2300,63
4348,63
1009,63
1008,63
1010,63
1012,63
496,63
1016,63
488,63
1000,63
472,63
984,63
440,63
952,63
376,63
888,63
760,63
1528,63
2552,63
4600,63
2017,63
2016,63
2018,63
2020,63
2024,63
992,63
2032,63
976,63
2000,63
944,63
1968,63
880,63
1904,63
752,63
1776,63
1520,63
3056,63
5104,63
4033,63
4032,63
4034,63
4036,63
4040,63
4048,63
1984,63
4064,63
1952,63
4000,63
1888,63
3936,63
1760,63
3808,63
1504,63
3552,63
3040,63
6112,63
8065,63
8064,63
8066,63
8068,63
8072,63
8080,63
8096,63
3968,63
8128,63
3904,63
8000,63
3776,63
7872,63
3520,63
7616,63
3008,63
7104,63
6080,63
7937,63
7936,63
7938,63
7940,63
7944,63
7952,63
7968,63
7808,63
7552,63
7040,63
6016,63
7683,63
7682,63
7939,63
7681,63
7941,63
7685,63
7945,63
7689,63
7953,63
7697,63
7969,63
7713,63
8001,63
7745,63
7809,63
7425,63
6913,63
5889,63
3841,63
7175,63
7174,63
7173,63
7687,63
7171,63
7691,63
7179,63
7699,63
7187,63
7715,63
7203,63
7747,63
7235,63
7811,63
7299,63
7427,63
6659,63
5635,63
3587,63
6159,63
6158,63
6157,63
6155,63
7183,63
6151,63
7191,63
6167,63
7207,63
6183,63
7239,63
6215,63
7303,63
6279,63
7431,63
6407,63
6663,63
5127,63
3079,63
4127,63
4126,63
4125,63
4123,63
4119,63
6175,63
4111,63
6191,63
4143,63
6223,63
4175,63
6287,63
4239,63
6415,63
4367,63
6671,63
4623,63
5135,63
2063,63
4191,63
4255,63
159,63
4383,63
287,63
4639,63
543,63
5151,63
1055,63
2079,63
72,73
147,73
146,73
75,73
73,73
145,73
77,73
149,73
65,73
153,73
89,73
137,73
105,73
169,73
9,73
201,73
329,73
585,73
1097,73
2121,73
4169,73
293,73
292,73
144,73
294,73
150,73
290,73
154,73
298,73
130,73
306,73
178,73
274,73
210,73
338,73
18,73
402,73
658,73
1170,73
2194,73
4242,73
584,73
586,73
288,73
588,73
300,73
580,73
308,73
596,73
260,73
612,73
356,73
548,73
420,73
676,73
36,73
804,73
1316,73
2340,73
4388,73
1169,73
1168,73
1172,73
576,73
1176,73
600,73
1160,73
616,73
1192,73
520,73
1224,73
712,73
1096,73
840,73
1352,73
1608,73
2632,73
4680,73
2337,73
2336,73
2338,73
2344,73
1152,73
2352,73
1200,73
2320,73
1232,73
2384,73
1040,73
2448,73
1424,73
2192,73
1680,73
2704,73
3216,73
5264,73
4673,73
4672,73
4674,73
4676,73
4688,73
2304,73
4704,73
2400,73
4640,73
2464,73
4768,73
2080,73
4896,73
2848,73
4384,73
3360,73
5408,73
6432,73
1153,73
1154,73
1156,73
1184,73
4608,73
1216,73
4800,73
1088,73
4928,73
1344,73
4160,73
1600,73
5696,73
6720,73
2624,73
2307,73
2306,73
1155,73
2305,73
1157,73
2309,73
1161,73
2313,73
2321,73
1185,73
1217,73
2369,73
1025,73
2433,73
1409,73
2177,73
1665,73
2689,73
129,73
3201,73
5249,73
4613,73
4612,73
4614,73
2310,73
4610,73
2314,73
4618,73
2322,73
4626,73
4642,73
2370,73
2434,73
4738,73
2050,73
4866,73
2818,73
4354,73
3330,73
5378,73
258,73
6402,73
1033,73
1032,73
1034,73
1036,73
4620,73
1028,73
4628,73
1044,73
4644,73
1060,73
1092,73
4740,73
4868,73
1284,73
4100,73
1540,73
5636,73
516,73
6660,73
2564,73
2067,73
2066,73
1035,73
2065,73
1037,73
2069,73
2073,73
1049,73
2057,73
1065,73
2089,73
2185,73
1289,73
1545,73
2569,73
3081,73
5129,73
4133,73
4132,73
2064,73
4134,73
2070,73
4130,73
2074,73
4138,73
4146,73
2098,73
4114,73
2130,73
4178,73
4370,73
2578,73
3090,73
5138,73
6162,73
74,73
4128,73
76,73
4140,73
68,73
4148,73
84,73
100,73
4196,73
4260,73
164,73
5156,73
6180,73
2084,73
206,207
415,207
414,207
205,207
413,207
203,207
411,207
199,207
407,207
223,207
207,207
399,207
239,207
431,207
143,207
463,207
79,207
335,207
719,207
1231,207
2255,207
4303,207
829,207
828,207
412,207
830,207
410,207
826,207
406,207
822,207
398,207
814,207
446,207
798,207
478,207
862,207
286,207
926,207
158,207
670,207
1438,207
2462,207
4510,207
1657,207
1656,207
1658,207
824,207
1660,207
820,207
1652,207
812,207
1644,207
796,207
1628,207
892,207
1596,207
956,207
1724,207
572,207
1852,207
316,207
1340,207
2876,207
4924,207
3313,207
3312,207
3314,207
3316,207
1648,207
3320,207
1640,207
3304,207
1624,207
3288,207
1592,207
3256,207
1784,207
3192,207
1912,207
3448,207
1144,207
3704,207
632,207
2680,207
5752,207
6625,207
6624,207
6626,207
6628,207
6632,207
3296,207
6640,207
3280,207
6608,207
3248,207
6576,207
3184,207
6512,207
3568,207
6384,207
3824,207
6896,207
2288,207
7408,207
1264,207
5360,207
5057,207
5056,207
5058,207
5060,207
5064,207
5072,207
6592,207
5088,207
6560,207
5024,207
6496,207
4960,207
6368,207
4832,207
7136,207
4576,207
7648,207
5600,207
2528,207
1923,207
1922,207
5059,207
1921,207
5061,207
1925,207
5065,207
1929,207
5073,207
1937,207
5089,207
1953,207
4993,207
1985,207
4929,207
1857,207
4801,207
1729,207
4545,207
1473,207
6081,207
961,207
7105,207
3009,207
3847,207
3846,207
3845,207
1927,207
3843,207
1931,207
3851,207
1939,207
3859,207
1955,207
3875,207
1987,207
3907,207
1795,207
3971,207
1667,207
3715,207
1411,207
3459,207
899,207
2947,207
6019,207
7693,207
7692,207
3844,207
7694,207
3842,207
7690,207
3854,207
7686,207
3862,207
7702,207
3878,207
7718,207
3910,207
7750,207
3974,207
7814,207
3590,207
7942,207
3334,207
7430,207
2822,207
6918,207
1798,207
5894,207
7193,207
7192,207
7194,207
7688,207
7196,207
7684,207
7188,207
7708,207
7180,207
7724,207
7212,207
7756,207
7244,207
7820,207
7308,207
7948,207
7436,207
6668,207
5644,207
3596,207
6195,207
6194,207
7195,207
6193,207
7197,207
6197,207
7185,207
6201,207
7177,207
6185,207
7225,207
6169,207
7257,207
6233,207
7321,207
6297,207
7449,207
6425,207
7705,207
6681,207
5145,207
3097,207
4199,207
4198,207
4197,207
6199,207
4195,207
6203,207
4203,207
6179,207
4211,207
6163,207
4179,207
6259,207
4147,207
6323,207
4275,207
6451,207
4403,207
6707,207
4659,207
7219,207
5171,207
2099,207
4207,207
4215,207
215,207
4167,207
231,207
4135,207
167,207
4327,207
103,207
4455,207
359,207
4711,207
615,207
5223,207
1127,207
6247,207
2151,207
242,243
487,243
486,243
241,243
485,243
247,243
243,243
483,243
251,243
491,243
227,243
499,243
211,243
467,243
179,243
435,243
115,243
371,243
755,243
1267,243
2291,243
4339,243
973,243
972,243
484,243
974,243
482,243
970,243
494,243
966,243
502,243
982,243
454,243
998,243
422,243
934,243
358,243
870,243
230,243
742,243
1510,243
2534,243
4582,243
1945,243
1944,243
1946,243
968,243
1948,243
964,243
1940,243
988,243
1932,243
1004,243
1964,243
908,243
1996,243
844,243
1868,243
716,243
1740,243
460,243
1484,243
3020,243
5068,243
3889,243
3888,243
3890,243
3892,243
1936,243
3896,243
1928,243
3880,243
1976,243
3864,243
2008,243
3928,243
1816,243
3992,243
1688,243
3736,243
1432,243
3480,243
920,243
2968,243
6040,243
7777,243
7776,243
7778,243
7780,243
7784,243
3872,243
7792,243
3856,243
7760,243
3952,243
7728,243
4016,243
7856,243
3632,243
7984,243
3376,243
7472,243
2864,243
6960,243
1840,243
5936,243
7361,243
7360,243
7362,243
7364,243
7368,243
7376,243
7744,243
7392,243
7712,243
7328,243
7904,243
7264,243
8032,243
7520,243
6752,243
5728,243
3680,243
6531,243
6530,243
7363,243
6529,243
7365,243
6533,243
7369,243
6537,243
7377,243
6545,243
7393,243
6561,243
7297,243
6593,243
7233,243
6465,243
7617,243
6337,243
7873,243
6849,243
5313,243
3265,243
4871,243
4870,243
4869,243
6535,243
4867,243
6539,243
4875,243
6547,243
4883,243
6563,243
4899,243
6595,243
4931,243
6403,243
4995,243
6275,243
4739,243
7043,243
4483,243
7555,243
5507,243
2435,243
1551,243
1550,243
1549,243
1547,243
4879,243
1543,243
4887,243
1559,243
4903,243
1575,243
4935,243
1607,243
4999,243
1671,243
4615,243
1799,243
4359,243
1287,243
5895,243
775,243
6919,243
2823,243
3103,243
3102,243
3101,243
3099,243
3095,243
1567,243
3087,243
1583,243
3119,243
1615,243
3151,243
1679,243
3215,243
1807,243
3343,243
1039,243
3599,243
527,243
2575,243
5647,243
6205,243
6204,243
3100,243
6206,243
3098,243
6202,243
3094,243
6198,243
3086,243
6190,243
3134,243
6174,243
3166,243
6238,243
3230,243
6302,243
3358,243
6430,243
3614,243
6686,243
2078,243
7198,243
1054,243
5150,243
4217,243
4216,243
4218,243
6200,243
4220,243
6196,243
4212,243
6188,243
4204,243
6172,243
4188,243
6268,243
4156,243
6332,243
4284,243
6460,243
4412,243
6716,243
4668,243
7228,243
5180,243
2108,243
4219,243
4221,243
245,243
4209,243
249,243
4201,243
233,243
4185,243
217,243
4153,243
185,243
4345,243
121,243
4473,243
377,243
4729,243
633,243
5241,243
1145,243
6265,243
2169,243
342,343
687,343
686,343
341,343
685,343
339,343
683,343
351,343
343,343
679,343
327,343
695,343
375,343
663,343
279,343
727,343
471,343
599,343
87,343
855,343
1367,343
2391,343
4439,343
1373,343
1372,343
684,343
1374,343
682,343
1370,343
678,343
1366,343
702,343
1358,343
654,343
1390,343
750,343
1326,343
558,343
1454,343
942,343
1198,343
174,343
1710,343
2734,343
4782,343
2745,343
2744,343
2746,343
1368,343
2748,343
1364,343
2740,343
1356,343
2732,343
1404,343
2716,343
1308,343
2780,343
1500,343
2652,343
1116,343
2908,343
1884,343
2396,343
348,343
3420,343
5468,343
5489,343
5488,343
5490,343
5492,343
2736,343
5496,343
2728,343
5480,343
2712,343
5464,343
2808,343
5432,343
2616,343
5560,343
3000,343
5304,343
2232,343
5816,343
3768,343
4792,343
696,343
6840,343
2785,343
2784,343
2786,343
2788,343
2792,343
5472,343
2800,343
5456,343
2768,343
5424,343
5616,343
2672,343
5232,343
2928,343
6000,343
2416,343
4464,343
3440,343
7536,343
1392,343
5571,343
5570,343
2787,343
5569,343
2789,343
5573,343
2793,343
5577,343
2801,343
5585,343
2753,343
5601,343
2721,343
5537,343
2657,343
5473,343
3041,343
5345,343
2273,343
5857,343
3809,343
4833,343
737,343
6881,343
2949,343
2948,343
5568,343
2950,343
5574,343
2946,343
5578,343
2954,343
5586,343
2962,343
5602,343
2978,343
5506,343
3010,343
5442,343
2882,343
5314,343
2754,343
6082,343
2498,343
4546,343
3522,343
7618,343
1474,343
5899,343
5898,343
2951,343
5897,343
2945,343
5901,343
2957,343
5893,343
2965,343
5909,343
2981,343
5925,343
3013,343
5957,343
2821,343
6021,343
2693,343
5765,343
2437,343
5509,343
3973,343
4997,343
901,343
7045,343
3605,343
3604,343
5896,343
3606,343
5902,343
3602,343
5890,343
3610,343
5914,343
3594,343
5930,343
3626,343
5962,343
3658,343
6026,343
3722,343
5642,343
3850,343
5386,343
3338,343
4874,343
2826,343
7946,343
1802,343
7211,343
7210,343
3607,343
7209,343
3601,343
7213,343
3613,343
7205,343
3589,343
7221,343
3637,343
7189,343
3669,343
7253,343
3733,343
7317,343
3861,343
7445,343
3093,343
7701,343
2581,343
6677,343
1557,343
5653,343
6229,343
6228,343
7208,343
6230,343
7214,343
6226,343
7202,343
6234,343
7226,343
6218,343
7178,343
6250,343
7274,343
6186,343
7338,343
6314,343
7466,343
6442,343
7722,343
6698,343
5162,343
3114,343
4267,343
4266,343
6231,343
4265,343
6225,343
4269,343
6237,343
4261,343
6213,343
4277,343
6261,343
4245,343
6165,343
4309,343
6357,343
4181,343
6485,343
4437,343
6741,343
4693,343
5205,343
2133,343
4271,343
4259,343
347,343
4283,343
331,343
4235,343
363,343
4331,343
299,343
4139,343
427,343
4523,343
171,343
4779,343
5291,343
1195,343
6315,343
2219,343
510,511
1023,511
1022,511
509,511
1021,511
507,511
1019,511
503,511
1015,511
495,511
1007,511
479,511
991,511
447,511
959,511
383,511
895,511
255,511
767,511
511,511
1535,511
2559,511
4607,511
2045,511
2044,511
1020,511
2046,511
1018,511
2042,511
1014,511
2038,511
1006,511
2030,511
990,511
2014,511
958,511
1982,511
894,511
1918,511
766,511
1790,511
1534,511
3070,511
5118,511
4089,511
4088,511
4090,511
2040,511
4092,511
2036,511
4084,511
2028,511
4076,511
2012,511
4060,511
1980,511
4028,511
1916,511
3964,511
1788,511
3836,511
1532,511
3580,511
3068,511
6140,511
8177,511
8176,511
8178,511
8180,511
4080,511
8184,511
4072,511
8168,511
4056,511
8152,511
4024,511
8120,511
3960,511
8056,511
3832,511
7928,511
3576,511
7672,511
3064,511
7160,511
6136,511
8161,511
8160,511
8162,511
8164,511
8144,511
8112,511
8048,511
7920,511
7664,511
7152,511
6128,511
8131,511
8130,511
8163,511
8129,511
8165,511
8133,511
8169,511
8137,511
8145,511
8097,511
8033,511
7905,511
7649,511
7137,511
6113,511
4065,511
8071,511
8070,511
8069,511
8135,511
8067,511
8139,511
8075,511
8147,511
8083,511
8099,511
8003,511
7875,511
7619,511
7107,511
6083,511
4035,511
7951,511
7950,511
7949,511
7947,511
8079,511
7943,511
8087,511
7959,511
8103,511
7975,511
8007,511
7815,511
7559,511
7047,511
6023,511
3975,511
7711,511
7710,511
7709,511
7707,511
7703,511
7967,511
7695,511
7983,511
7727,511
8015,511
7759,511
7823,511
7439,511
6927,511
5903,511
3855,511
7231,511
7230,511
7229,511
7227,511
7223,511
7215,511
